No.,Country,Title,Artist,Since,Vocal,Tags,Memo
1.0,한국,보랏빛 향기,강수지,1990,여,['d'],
2.0,한국,흐린 기억 속의 그대,현진영,1992,남,['c'],
3.0,한국,일과 이분의 일,투투,1995,혼,['c'],
4.0,한국,3!4!,룰라,1996,혼,['d'],
5.0,한국,I'm Your Girl,S.E.E,1997,여,['d'],
6.0,한국,칵테일 사랑,마로니에,1997,혼,['a'],
7.0,미국,I Want You Back,*NSYNC,1998,남,['c'],
8.0,한국,내 얘길 들어봐,파파야,2000,여,['a'],
9.0,미국,Oops!... I Did It Again,Britney Spears,2000,여,['d'],
10.0,한국,NO.1,BoA,2002,여,['d'],
11.0,미국,This Love,Maroon 5,2004,남,['d'],
12.0,일본,オツカレSUMMER,HALCALI,2005,여,['c'],
13.0,일본,おちゃめ機能 (feat. KASANE TETO),takaokamizuki,2010,여,['d'],
14.0,한국,chu~❤️,f(x),2013,여,['d'],
15.0,한국,I Swear,씨스타,2014,여,['a'],
16.0,한국,4 Walls,f(x),2015,여,['d'],
17.0,한국,Day 1,Red Velvet,2015,여,['c'],
18.0,한국,View,SHINee,2015,남,['a'],
19.0,한국,"And July (feat. DEAN, DJ Friz)",Heize,2016,혼,['c'],
20.0,한국,백색소음 White Noise,EXO,2016,남,['d'],
21.0,한국,유리구두 (Glass Shoes),fromis_9,2017,여,['d'],
22.0,한국,Oh Little Girl,슬레이트 Slate,2017,남,['a'],
23.0,일본,il vento d'oro,Yugo Kanno,2018,무,['e'],
24.0,한국,Home Sweet Home,카더가든,2018,남,['d'],
25.0,일본,グリズリーに襲われたら♡,Kamiyado,2019,여,['c'],
26.0,일본,Mela!,Ryokuoushoku Shakai,2020,여,['a'],
27.0,한국,Better,BoA,2020,여,['a'],
28.0,한국,어제는 당신 꿈을 꿨어요,윤지영,2020,여,['d'],
29.0,일본,怪獣の花唄,Vaundy,2020,남,['e'],
30.0,일본,花占い,Vaundy,2021,남,['e'],
31.0,한국,Summer,The Volunteers,2021,여,['a'],
32.0,일본,ちゅ、多様性。,ano,2022,여,['d'],
33.0,일본,逆光,Ado,2022,여,['e'],
34.0,한국,죽여줘,보수동쿨러,2022,여,['d'],
35.0,일본,If I could be a constellation,Kessoku Band,2022,여,['e'],
36.0,한국,시간을 달리네,한로로,2022,여,['c'],
37.0,일본,TATTOO,OFFICIAL HIGE DANDISM,2023,남,['d'],
38.0,한국,나의 정원에서,윤지영,2023,여,['e'],
39.0,한국,Fntsy (feat. Jvcky Wai),So!YoON!,2023,여,['d'],
40.0,일본,POP IN 2,B小町 ルビー,2024,여,['d'],
41.0,일본,偽愛とハイボール,LET ME KNOW,2024,남,['a'],
42.0,일본,ライラック (Lilac),Mrs. GREEN APPLE,2024,남,['c'],
43.0,일본,Supernatural,NewJeans,2024,여,['a'],
44.0,한국,Déjà vu,RESCENE,2024,여,['a'],
45.0,한국,Realize,실리카겔,2024,남,['a'],
46.0,한국,Eres Tu,실리카겔,2024,남,['e'],
47.0,일본,超最強,Cho Tokimeki♡Sendenbu,2024,여,['c'],
48.0,한국,비틀비틀 짝짜꿍,한로로,2025,여,['d'],
49.0,한국,Feel the Beat,NCT WISH,2025,남,['a'],
50.0,한국,It's Me,ILLIT,2026,여,['e'],
51.0,한국,WORK,Billlie,2026,여,['c'],
52.0,한국,Sticky,NCT WISH,2026,남,['a'],
53.0,한국,RED RED,CORTIS,2026,남,['c'],
54.0,한국,HYPNOTIZE,XG,2026,여,['d'],
55.0,한국,FaceTime,LNGSHOT,2026,남,['d'],
56.0,한국,DDI RO RI,MEOVV,2026,여,['d'],
57.0,일본,BOY MEETS GIRL,NCT WISH,2026,남,['d'],
58.0,한국,일기장,김승주,2026,남,['e'],
59.0,한국,Odd (GAEUL Solo),IVE,2026,여,['d'],
60.0,한국,Ice Cream,유나,2026,여,['d'],
,한국,Cheat Code,NCT WISH,2025,남성,,
